error,number_of_disabled_catering,number_of_disabled_job_listings,number_of_disabled_online_orders,number_of_disabled_private_parties,number_of_disabled_reservations,number_of_enabled_catering,number_of_enabled_job_listings,number_of_enabled_online_orders,number_of_enabled_private_parties,number_of_enabled_reservations,spot_id
true,0,0,0,0,1,0,0,0,0,2,574728
true,0,0,0,0,0,0,0,1,0,0,573705
true,1,0,2,0,0,1,0,1,0,0,514304
true,0,1,2,1,1,0,1,1,1,1,566287
true,2,2,2,0,1,2,2,1,0,1,72459
true,0,0,1,0,0,0,0,0,0,0,572187
true,0,0,2,0,0,0,0,1,0,0,571665
true,0,0,0,0,1,0,0,0,0,0,2090
true,0,0,2,0,0,0,0,1,0,0,88106
true,0,0,2,0,1,0,0,1,0,1,299306
true,0,0,2,0,0,0,0,1,0,0,528440
true,0,0,2,0,2,0,0,1,0,2,306226
true,0,0,2,0,0,0,0,1,0,0,120637
true,0,0,2,2,0,0,0,1,2,0,614464
true,0,0,2,0,0,0,0,1,0,0,620864
true,1,0,0,0,0,0,0,0,0,0,26700
true,0,1,2,0,0,0,1,1,0,0,598852
true,0,0,0,0,0,0,0,0,0,1,108881
true,0,0,0,0,0,1,1,0,1,1,557914
true,0,0,2,0,0,0,0,1,0,0,541791
true,0,0,2,0,0,0,0,1,0,0,198242
true,0,0,2,0,0,0,0,1,0,0,482658
true,0,0,2,0,0,0,0,1,0,0,599412
true,0,1,2,0,1,0,1,1,0,1,578953
true,0,0,2,1,1,0,0,1,1,1,423296
true,0,0,2,1,1,0,0,1,1,1,117133
true,1,1,2,0,1,1,1,1,0,1,160659
true,1,1,2,0,0,1,1,1,0,0,545424
true,1,2,3,1,1,1,2,2,1,1,482460
true,0,0,2,0,1,0,0,1,0,1,528790
true,0,0,1,0,0,0,0,0,0,0,499879
true,0,0,2,0,0,0,0,1,0,0,513955
true,0,0,0,0,1,0,0,0,0,0,283820
true,0,0,2,0,0,0,0,1,0,0,602811
true,0,0,2,0,0,0,0,1,0,0,275127
true,0,0,2,0,0,0,0,1,0,0,594364
true,1,0,2,0,0,1,0,1,0,0,613041
true,0,0,3,0,2,0,0,2,0,2,566216
true,0,0,2,0,1,0,0,1,0,1,499910
true,0,0,2,0,0,0,0,1,0,0,601281
true,0,0,2,0,0,0,0,1,0,0,605418
true,1,1,2,0,1,1,1,1,0,1,558830
true,0,0,2,0,0,0,0,1,0,0,72427
true,0,0,2,0,0,0,0,1,0,0,584167
true,0,0,2,0,0,0,0,1,0,0,577533
true,0,3,2,0,1,0,3,1,0,1,576510
true,0,0,2,0,0,0,0,1,0,0,573939
